2024-11-27 11:33:26,523 - sd_express_tester - INFO - ==================================================
2024-11-27 11:33:26,523 - sd_express_tester - INFO - Application Started
2024-11-27 11:33:26,523 - sd_express_tester - INFO - Log file: C:\github\sd_express_tester\logs\sd_express_tester_20241127_113326.log
2024-11-27 11:33:26,523 - sd_express_tester - INFO - Log level: INFO
2024-11-27 11:33:26,523 - sd_express_tester - INFO - ==================================================
2024-11-27 11:33:26,556 - utils.config - INFO - Configuration file loaded: config.yaml
2024-11-27 11:33:26,556 - sd_express_tester - INFO - Log level updated to: INFO
2024-11-27 11:33:26,556 - utils.config - INFO - Language set to: zh_CN
2024-11-27 11:33:26,569 - sd_express_tester - INFO - Starting SD Express Test Tool
2024-11-27 11:33:26,569 - sd_express_tester - INFO - Running in GUI mode
2024-11-27 11:33:26,577 - gui.main_window - INFO - Initializing main window
2024-11-27 11:33:26,581 - core.controller - INFO - Initializing SD Controller
2024-11-27 11:33:26,585 - core.controller - INFO - Initializing SD Controller
2024-11-27 11:33:26,593 - gui.main_window - INFO - Card detection timer started
2024-11-27 11:34:54,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:55,859 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:56,856 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:57,856 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:58,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:59,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:00,858 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:01,851 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:02,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:03,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:04,858 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:05,860 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:06,863 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:07,852 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:08,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:09,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:10,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:11,851 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:12,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:13,854 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:14,862 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:15,859 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:16,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:17,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:18,851 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:19,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:20,863 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:21,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:22,856 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:23,857 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:35:24,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
